Variable,Measure,Country,Year,Value
HIV-AIDS,Number of female deaths,Spain,2000,320
HIV-AIDS,Number of female deaths,Spain,2001,336
HIV-AIDS,Number of female deaths,Spain,2002,294
HIV-AIDS,Number of female deaths,Spain,2003,343
HIV-AIDS,Number of female deaths,Spain,2004,280
HIV-AIDS,Number of female deaths,Spain,2005,282
HIV-AIDS,Number of female deaths,Spain,2006,278
HIV-AIDS,Number of female deaths,Spain,2007,248
HIV-AIDS,Number of female deaths,Spain,2008,264
HIV-AIDS,Number of female deaths,Spain,2009,226
HIV-AIDS,Number of female deaths,Spain,2010,207
HIV-AIDS,Number of female deaths,Spain,2011,197
HIV-AIDS,Number of female deaths,Spain,2012,205
HIV-AIDS,Number of female deaths,Spain,2013,146
HIV-AIDS,Number of female deaths,Spain,2014,169
HIV-AIDS,Number of female deaths,Spain,2015,120
HIV-AIDS,Number of female deaths,Spain,2016,113
HIV-AIDS,Number of female deaths,Spain,2017,100
HIV-AIDS,Number of male deaths,Spain,2000,1391
HIV-AIDS,Number of male deaths,Spain,2001,1296
HIV-AIDS,Number of male deaths,Spain,2002,1317
HIV-AIDS,Number of male deaths,Spain,2003,1289
HIV-AIDS,Number of male deaths,Spain,2004,1271
HIV-AIDS,Number of male deaths,Spain,2005,1168
HIV-AIDS,Number of male deaths,Spain,2006,1035
HIV-AIDS,Number of male deaths,Spain,2007,1059
HIV-AIDS,Number of male deaths,Spain,2008,947
HIV-AIDS,Number of male deaths,Spain,2009,853
HIV-AIDS,Number of male deaths,Spain,2010,813
HIV-AIDS,Number of male deaths,Spain,2011,756
HIV-AIDS,Number of male deaths,Spain,2012,675
HIV-AIDS,Number of male deaths,Spain,2013,603
HIV-AIDS,Number of male deaths,Spain,2014,531
HIV-AIDS,Number of male deaths,Spain,2015,513
HIV-AIDS,Number of male deaths,Spain,2016,385
HIV-AIDS,Number of male deaths,Spain,2017,342
HIV-AIDS,Number of total deaths,Spain,2000,1711
HIV-AIDS,Number of total deaths,Spain,2001,1632
HIV-AIDS,Number of total deaths,Spain,2002,1611
HIV-AIDS,Number of total deaths,Spain,2003,1632
HIV-AIDS,Number of total deaths,Spain,2004,1551
HIV-AIDS,Number of total deaths,Spain,2005,1450
HIV-AIDS,Number of total deaths,Spain,2006,1313
HIV-AIDS,Number of total deaths,Spain,2007,1307
HIV-AIDS,Number of total deaths,Spain,2008,1211
HIV-AIDS,Number of total deaths,Spain,2009,1079
HIV-AIDS,Number of total deaths,Spain,2010,1020
HIV-AIDS,Number of total deaths,Spain,2011,953
HIV-AIDS,Number of total deaths,Spain,2012,880
HIV-AIDS,Number of total deaths,Spain,2013,749
HIV-AIDS,Number of total deaths,Spain,2014,700
HIV-AIDS,Number of total deaths,Spain,2015,633
HIV-AIDS,Number of total deaths,Spain,2016,498
HIV-AIDS,Number of total deaths,Spain,2017,442
